flight_iata,airline,dep_airport,dep_time_sched,dep_delay,arr_airport,arr_time_sched,arr_delay,weather_timestamp_deo,arr_time_hour,weather_timestamp,temperature_2m_dep,precipitation_dep,wind_speed_10m_dep,wind_gusts_10m_dep,pressure_msl_dep,relative_humidity_2m_dep,cloudcover_dep,wind_direction_10m_dep,weather_code_dep
cx7275,cathay pacific,lhr,2026-01-07 06:00:00,25,vie,2026-01-07 09:15:00,0,2026-01-07 06:00:00+00:00,2026-01-07 09:00:00+00:00,2026-01-07 06:00:00+00:00,1.4,0.0,12.9,24.1,1004.3,93,1,258,0
ba692,british airways,lhr,2026-01-07 06:00:00,25,vie,2026-01-07 09:15:00,0,2026-01-07 06:00:00+00:00,2026-01-07 09:00:00+00:00,2026-01-07 06:00:00+00:00,1.4,0.0,12.9,24.1,1004.3,93,1,258,0
lx345,swiss,lhr,2026-01-07 06:00:00,19,zrh,2026-01-07 08:40:00,0,2026-01-07 06:00:00+00:00,2026-01-07 08:00:00+00:00,2026-01-07 06:00:00+00:00,1.4,0.0,12.9,24.1,1004.3,93,1,258,0
ac6186,air canada,lhr,2026-01-07 06:00:00,23,vie,2026-01-07 09:10:00,0,2026-01-07 06:00:00+00:00,2026-01-07 09:00:00+00:00,2026-01-07 06:00:00+00:00,1.4,0.0,12.9,24.1,1004.3,93,1,258,0
os340,austrian,lhr,2026-01-07 06:00:00,23,vie,2026-01-07 09:10:00,0,2026-01-07 06:00:00+00:00,2026-01-07 09:00:00+00:00,2026-01-07 06:00:00+00:00,1.4,0.0,12.9,24.1,1004.3,93,1,258,0
ac2686,air canada,lhr,2026-01-07 06:00:00,16,lis,2026-01-07 08:45:00,0,2026-01-07 06:00:00+00:00,2026-01-07 08:00:00+00:00,2026-01-07 06:00:00+00:00,1.4,0.0,12.9,24.1,1004.3,93,1,258,0
ad7232,azul,lhr,2026-01-07 06:00:00,16,lis,2026-01-07 08:45:00,0,2026-01-07 06:00:00+00:00,2026-01-07 08:00:00+00:00,2026-01-07 06:00:00+00:00,1.4,0.0,12.9,24.1,1004.3,93,1,258,0
ai7913,air india,lhr,2026-01-07 06:00:00,16,lis,2026-01-07 08:45:00,0,2026-01-07 06:00:00+00:00,2026-01-07 08:00:00+00:00,2026-01-07 06:00:00+00:00,1.4,0.0,12.9,24.1,1004.3,93,1,258,0
s48050,azores airlines,lhr,2026-01-07 06:00:00,16,lis,2026-01-07 08:45:00,0,2026-01-07 06:00:00+00:00,2026-01-07 08:00:00+00:00,2026-01-07 06:00:00+00:00,1.4,0.0,12.9,24.1,1004.3,93,1,258,0
sq2783,singapore airlines,lhr,2026-01-07 06:00:00,16,lis,2026-01-07 08:45:00,0,2026-01-07 06:00:00+00:00,2026-01-07 08:00:00+00:00,2026-01-07 06:00:00+00:00,1.4,0.0,12.9,24.1,1004.3,93,1,258,0
ua6857,united airlines,lhr,2026-01-07 06:00:00,16,lis,2026-01-07 08:45:00,0,2026-01-07 06:00:00+00:00,2026-01-07 08:00:00+00:00,2026-01-07 06:00:00+00:00,1.4,0.0,12.9,24.1,1004.3,93,1,258,0
tp1363,tap air portugal,lhr,2026-01-07 06:00:00,16,lis,2026-01-07 08:45:00,0,2026-01-07 06:00:00+00:00,2026-01-07 08:00:00+00:00,2026-01-07 06:00:00+00:00,1.4,0.0,12.9,24.1,1004.3,93,1,258,0
ba668,british airways,lhr,2026-01-07 06:05:00,17,rak,2026-01-07 10:45:00,0,2026-01-07 06:00:00+00:00,2026-01-07 10:00:00+00:00,2026-01-07 06:00:00+00:00,1.4,0.0,12.9,24.1,1004.3,93,1,258,0
